Program launched in profiler mode on the tracee2 tracee.
Detected profiler mode
Tracee path = tracee2
Address of main = 804889c
80489b3 | 8b | 308b
80489b5 | 74 | e074
80489a0 | 83 | c083
80489a3 | ff | 10ff
805c770 | 8d | 8d
805c776 | f7 | f7
805c780 | 74 | 2074
805c782 | 8d | 8d
805c788 | f7 | f7
805c792 | 74 | 1074
805c794 | f7 | f7
805c79e | 75 | 75
805c7a0 | 8d | 8d
805c7a6 | c3 | 60c3
80489a5 | 81 | f081
80489ab | 89 | 89
80489ad | 73 | 5073
80489af | 80 | 7080
80489b3 | 8b | 308b
80489b5 | 74 | e074
80489a0 | 83 | c083
80489a3 | ff | 10ff
805c230 | 8d | 8d
805c236 | f7 | f7
805c240 | 74 | 1074
805c242 | 8d | 8d
805c248 | f7 | f7
805c252 | 74 | 74
805c254 | 8d | 8d
805c25a | c3 | 90c3
80489a5 | 81 | f081
80489ab | 89 | 89
80489ad | 73 | 5073
80489af | 80 | 7080
80489b3 | 8b | 308b
80489b5 | 74 | e074
80489a0 | 83 | c083
80489a3 | ff | 10ff
805c060 | f7 | f7
805c06a | 74 | 1074
805c06c | f7 | f7
805c076 | 74 | 74
805c086 | 8d | 8d
805c08c | c3 | 80c3
80489a5 | 81 | f081
80489ab | 89 | 89
80489ad | 73 | 5073
80489af | 80 | 7080
80489b3 | 8b | 308b
80489b5 | 74 | e074
80489a0 | 83 | c083
80489a3 | ff | 10ff
805c6a0 | 8d | 8d
805c6a6 | f7 | f7
805c6b0 | 74 | 2074
805c6b2 | 8d | 8d
805c6b8 | f7 | f7
805c6c2 | 75 | 1075
805c6d6 | c3 | 80c3
80489a5 | 81 | f081
80489ab | 89 | 89
80489ad | 73 | 5073
80489af | 80 | 7080
80489b3 | 8b | 308b
80489b5 | 74 | e074
80489a0 | 83 | c083
80489a3 | ff | 10ff
808ccd0 | 8d | 8d
808ccd6 | f7 | f7
808cce0 | 74 | 1074
808cce2 | 8d | 8d
808cce8 | f7 | f7
808ccf2 | 74 | 74
808ccfa | c3 | 90c3
80489a5 | 81 | f081
80489ab | 89 | 89
80489ad | 73 | 5073
80489af | 80 | 7080
80489b3 | 8b | 308b
80489b5 | 74 | e074
80489a0 | 83 | c083
80489a3 | ff | 10ff
808e830 | 8d | 8d
808e836 | f7 | f7
808e840 | 74 | 74
808e842 | 8d | 8d
808e848 | c3 | 60c3
80489a5 | 81 | f081
80489ab | 89 | 89
80489ad | 73 | 5073
80489af | 80 | 7080
80489b3 | 8b | 308b
80489b5 | 74 | e074
80489a0 | 83 | c083
80489a3 | ff | 10ff
805c820 | f7 | f7
805c82a | 74 | 1074
805c82c | f7 | f7
805c836 | 74 | 74
805c846 | 8d | 8d
805c84c | c3 | 80c3
80489a5 | 81 | f081
80489ab | 89 | 89
80489ad | 73 | 5073
80489af | 80 | 7080
80489b3 | 8b | 308b
80489b5 | 74 | e074
80489a0 | 83 | c083
80489a3 | ff | 10ff
805c540 | 8d | 8d
805c546 | f7 | f7
805c550 | 74 | 3074
805c552 | 8d | 8d
805c558 | f7 | f7
805c562 | 75 | 2075
805c588 | c3 | 80c3
80489a5 | 81 | f081
80489ab | 89 | 89
80489ad | 73 | 5073
80489af | 80 | 7080
80489b3 | 8b | 308b
80489b5 | 74 | e074
80489a0 | 83 | c083
80489a3 | ff | 10ff
808ccb0 | 8d | 8d
808ccb6 | f7 | f7
808ccc0 | 74 | 74
808ccc2 | 8d | 8d
808ccc8 | c3 | 60c3
80489a5 | 81 | f081
80489ab | 89 | 89
80489ad | 73 | 5073
80489af | 80 | 7080
80489b3 | 8b | 308b
80489b5 | 74 | e074
80489a0 | 83 | c083
